text,span,label,ordinal
yg perlu dibenahi ada hal system pendidikan dokter komersialisasi pendidikan makin banyak fakultas kedokteran mahasiswa berlatar belakang bukan sma ipa bebas masuk yg penting ada duit dan berani bayar bagaimana kualitas lulusannya kalo mau spesialis bayar sendiri mahal lama th tidak ada waktu cari penghasilan lain kecuali ortu nya tajir sistem gaji dokter di malaysia dan singapura gk mikir lagi urusan dapur gajinya cukup dari pemerintah apa pun jenis spesialisnya gajinya sama cukup kerja di rumah sakit ngapain kerja di tempat dokter di ri gajinya sama dengan pns lain bisa jadi di bawah gaji dan tunjangan guru maka cari lagi tempat praktek lain karena fee for service berlomba sebanyaknya pasen bpjs mungkin banyak menolong masyarakat tapi bikin pusing tenaga kesehatan pekerjaan dokter ditambah lagi dgn urusan administrasi parah pokoknyabrkalo gaji dari pemerintah cukup pasti mau kerja fokus di tempat gk sikutan pemerintah juga punya power mengatur penempatan dokter pendidikan dokter kalo bisa ditanggung saja oleh pemerintah gratis ntar seleksi lebih ketat spy kualitas outputnya oke,biaya,negatif,0
yg perlu dibenahi ada hal system pendidikan dokter komersialisasi pendidikan makin banyak fakultas kedokteran mahasiswa berlatar belakang bukan sma ipa bebas masuk yg penting ada duit dan berani bayar bagaimana kualitas lulusannya kalo mau spesialis bayar sendiri mahal lama th tidak ada waktu cari penghasilan lain kecuali ortu nya tajir sistem gaji dokter di malaysia dan singapura gk mikir lagi urusan dapur gajinya cukup dari pemerintah apa pun jenis spesialisnya gajinya sama cukup kerja di rumah sakit ngapain kerja di tempat dokter di ri gajinya sama dengan pns lain bisa jadi di bawah gaji dan tunjangan guru maka cari lagi tempat praktek lain karena fee for service berlomba sebanyaknya pasen bpjs mungkin banyak menolong masyarakat tapi bikin pusing tenaga kesehatan pekerjaan dokter ditambah lagi dgn urusan administrasi parah pokoknyabrkalo gaji dari pemerintah cukup pasti mau kerja fokus di tempat gk sikutan pemerintah juga punya power mengatur penempatan dokter pendidikan dokter kalo bisa ditanggung saja oleh pemerintah gratis ntar seleksi lebih ketat spy kualitas outputnya oke,fasilitas,negatif,0
yg perlu dibenahi ada hal system pendidikan dokter komersialisasi pendidikan makin banyak fakultas kedokteran mahasiswa berlatar belakang bukan sma ipa bebas masuk yg penting ada duit dan berani bayar bagaimana kualitas lulusannya kalo mau spesialis bayar sendiri mahal lama th tidak ada waktu cari penghasilan lain kecuali ortu nya tajir sistem gaji dokter di malaysia dan singapura gk mikir lagi urusan dapur gajinya cukup dari pemerintah apa pun jenis spesialisnya gajinya sama cukup kerja di rumah sakit ngapain kerja di tempat dokter di ri gajinya sama dengan pns lain bisa jadi di bawah gaji dan tunjangan guru maka cari lagi tempat praktek lain karena fee for service berlomba sebanyaknya pasen bpjs mungkin banyak menolong masyarakat tapi bikin pusing tenaga kesehatan pekerjaan dokter ditambah lagi dgn urusan administrasi parah pokoknyabrkalo gaji dari pemerintah cukup pasti mau kerja fokus di tempat gk sikutan pemerintah juga punya power mengatur penempatan dokter pendidikan dokter kalo bisa ditanggung saja oleh pemerintah gratis ntar seleksi lebih ketat spy kualitas outputnya oke,pelayanan,negatif,0
yg perlu dibenahi ada hal system pendidikan dokter komersialisasi pendidikan makin banyak fakultas kedokteran mahasiswa berlatar belakang bukan sma ipa bebas masuk yg penting ada duit dan berani bayar bagaimana kualitas lulusannya kalo mau spesialis bayar sendiri mahal lama th tidak ada waktu cari penghasilan lain kecuali ortu nya tajir sistem gaji dokter di malaysia dan singapura gk mikir lagi urusan dapur gajinya cukup dari pemerintah apa pun jenis spesialisnya gajinya sama cukup kerja di rumah sakit ngapain kerja di tempat dokter di ri gajinya sama dengan pns lain bisa jadi di bawah gaji dan tunjangan guru maka cari lagi tempat praktek lain karena fee for service berlomba sebanyaknya pasen bpjs mungkin banyak menolong masyarakat tapi bikin pusing tenaga kesehatan pekerjaan dokter ditambah lagi dgn urusan administrasi parah pokoknyabrkalo gaji dari pemerintah cukup pasti mau kerja fokus di tempat gk sikutan pemerintah juga punya power mengatur penempatan dokter pendidikan dokter kalo bisa ditanggung saja oleh pemerintah gratis ntar seleksi lebih ketat spy kualitas outputnya oke,kualitas_diagnosis,positif,0
kalo sdm kedokteran lebih baik pasti kita ga berobat ke luar negeritau sendiri dokter disinikalo saya ada duit saya jg lebih memilih berobat ke luar negeriini masalah nyawa,biaya,negatif,0
kalo sdm kedokteran lebih baik pasti kita ga berobat ke luar negeritau sendiri dokter disinikalo saya ada duit saya jg lebih memilih berobat ke luar negeriini masalah nyawa,fasilitas,positif,0
kalo sdm kedokteran lebih baik pasti kita ga berobat ke luar negeritau sendiri dokter disinikalo saya ada duit saya jg lebih memilih berobat ke luar negeriini masalah nyawa,pelayanan,positif,0
kalo sdm kedokteran lebih baik pasti kita ga berobat ke luar negeritau sendiri dokter disinikalo saya ada duit saya jg lebih memilih berobat ke luar negeriini masalah nyawa,kualitas_diagnosis,positif,0
tidak semua dokter di indonesia buruk banyak juga yang bagus amp profesionalbrsaya berulang kali bertemu dokter dokter indonesia yang hebat meskipun ada sj diantaranya yang ngawur asal asalan brsebaiknya pilih pilihlah dokter seblum berobat untuk minimalisir komplain dllbrbrsingapuramalay pun tidak sempurna sy malah punya pengalaman buruk berobat di singapura amp ayah sy malah berakhir tragis akibat berobat di singapura brbrsebaiknya kita jg harus seimbang mencari berita amp medium harusnya berimbang pula menyuguhkan berita brbrjt masy indonesia yang berobat ke singapuramalay secara nominal memang jumlahnya besar tapi jumlah itu tidak sampai jumlah rakyat indonesia brbrapapun itu pelayanan kesehatan di indonesia tetap harus ditingkatkan lagi amp lagi sebab rakyat indonesia semakin banyak semakin pintar amp pastinya tuntutan juga semakin tinggi,biaya,positif,0
tidak semua dokter di indonesia buruk banyak juga yang bagus amp profesionalbrsaya berulang kali bertemu dokter dokter indonesia yang hebat meskipun ada sj diantaranya yang ngawur asal asalan brsebaiknya pilih pilihlah dokter seblum berobat untuk minimalisir komplain dllbrbrsingapuramalay pun tidak sempurna sy malah punya pengalaman buruk berobat di singapura amp ayah sy malah berakhir tragis akibat berobat di singapura brbrsebaiknya kita jg harus seimbang mencari berita amp medium harusnya berimbang pula menyuguhkan berita brbrjt masy indonesia yang berobat ke singapuramalay secara nominal memang jumlahnya besar tapi jumlah itu tidak sampai jumlah rakyat indonesia brbrapapun itu pelayanan kesehatan di indonesia tetap harus ditingkatkan lagi amp lagi sebab rakyat indonesia semakin banyak semakin pintar amp pastinya tuntutan juga semakin tinggi,fasilitas,positif,0
tidak semua dokter di indonesia buruk banyak juga yang bagus amp profesionalbrsaya berulang kali bertemu dokter dokter indonesia yang hebat meskipun ada sj diantaranya yang ngawur asal asalan brsebaiknya pilih pilihlah dokter seblum berobat untuk minimalisir komplain dllbrbrsingapuramalay pun tidak sempurna sy malah punya pengalaman buruk berobat di singapura amp ayah sy malah berakhir tragis akibat berobat di singapura brbrsebaiknya kita jg harus seimbang mencari berita amp medium harusnya berimbang pula menyuguhkan berita brbrjt masy indonesia yang berobat ke singapuramalay secara nominal memang jumlahnya besar tapi jumlah itu tidak sampai jumlah rakyat indonesia brbrapapun itu pelayanan kesehatan di indonesia tetap harus ditingkatkan lagi amp lagi sebab rakyat indonesia semakin banyak semakin pintar amp pastinya tuntutan juga semakin tinggi,pelayanan,negatif,0
tidak semua dokter di indonesia buruk banyak juga yang bagus amp profesionalbrsaya berulang kali bertemu dokter dokter indonesia yang hebat meskipun ada sj diantaranya yang ngawur asal asalan brsebaiknya pilih pilihlah dokter seblum berobat untuk minimalisir komplain dllbrbrsingapuramalay pun tidak sempurna sy malah punya pengalaman buruk berobat di singapura amp ayah sy malah berakhir tragis akibat berobat di singapura brbrsebaiknya kita jg harus seimbang mencari berita amp medium harusnya berimbang pula menyuguhkan berita brbrjt masy indonesia yang berobat ke singapuramalay secara nominal memang jumlahnya besar tapi jumlah itu tidak sampai jumlah rakyat indonesia brbrapapun itu pelayanan kesehatan di indonesia tetap harus ditingkatkan lagi amp lagi sebab rakyat indonesia semakin banyak semakin pintar amp pastinya tuntutan juga semakin tinggi,aksesibilitas,positif,0
tidak semua dokter di indonesia buruk banyak juga yang bagus amp profesionalbrsaya berulang kali bertemu dokter dokter indonesia yang hebat meskipun ada sj diantaranya yang ngawur asal asalan brsebaiknya pilih pilihlah dokter seblum berobat untuk minimalisir komplain dllbrbrsingapuramalay pun tidak sempurna sy malah punya pengalaman buruk berobat di singapura amp ayah sy malah berakhir tragis akibat berobat di singapura brbrsebaiknya kita jg harus seimbang mencari berita amp medium harusnya berimbang pula menyuguhkan berita brbrjt masy indonesia yang berobat ke singapuramalay secara nominal memang jumlahnya besar tapi jumlah itu tidak sampai jumlah rakyat indonesia brbrapapun itu pelayanan kesehatan di indonesia tetap harus ditingkatkan lagi amp lagi sebab rakyat indonesia semakin banyak semakin pintar amp pastinya tuntutan juga semakin tinggi,kualitas_diagnosis,positif,0
menurut saya berobat ke luar negeri pertimbangannya bukan soal nasionalis atau tidak nasionalis tapi lebih mempertimbangkan masalah kualitas pelayanan kesehatan itu sendiri kalau di indonesia kualitas pelayanan kesehatannya lebih bagus dari yang ada di luar negeri seperti singapura atau malaysia maka pasien akan memilih berobat di indonesia apalagi jika biaya pengobatannya lebih murah dan terjangkau oleh masyarakat indonesia pada umumnya itulah pertimbangan pasien kenapa berobat ke luar negeri utamanya untuk orang yang mampu sedangkan yang tidak mampu ya mau tidak mau berobat di indonesiabrsalam dari papua,biaya,positif,0
menurut saya berobat ke luar negeri pertimbangannya bukan soal nasionalis atau tidak nasionalis tapi lebih mempertimbangkan masalah kualitas pelayanan kesehatan itu sendiri kalau di indonesia kualitas pelayanan kesehatannya lebih bagus dari yang ada di luar negeri seperti singapura atau malaysia maka pasien akan memilih berobat di indonesia apalagi jika biaya pengobatannya lebih murah dan terjangkau oleh masyarakat indonesia pada umumnya itulah pertimbangan pasien kenapa berobat ke luar negeri utamanya untuk orang yang mampu sedangkan yang tidak mampu ya mau tidak mau berobat di indonesiabrsalam dari papua,fasilitas,negatif,0
menurut saya berobat ke luar negeri pertimbangannya bukan soal nasionalis atau tidak nasionalis tapi lebih mempertimbangkan masalah kualitas pelayanan kesehatan itu sendiri kalau di indonesia kualitas pelayanan kesehatannya lebih bagus dari yang ada di luar negeri seperti singapura atau malaysia maka pasien akan memilih berobat di indonesia apalagi jika biaya pengobatannya lebih murah dan terjangkau oleh masyarakat indonesia pada umumnya itulah pertimbangan pasien kenapa berobat ke luar negeri utamanya untuk orang yang mampu sedangkan yang tidak mampu ya mau tidak mau berobat di indonesiabrsalam dari papua,pelayanan,negatif,0
menurut saya berobat ke luar negeri pertimbangannya bukan soal nasionalis atau tidak nasionalis tapi lebih mempertimbangkan masalah kualitas pelayanan kesehatan itu sendiri kalau di indonesia kualitas pelayanan kesehatannya lebih bagus dari yang ada di luar negeri seperti singapura atau malaysia maka pasien akan memilih berobat di indonesia apalagi jika biaya pengobatannya lebih murah dan terjangkau oleh masyarakat indonesia pada umumnya itulah pertimbangan pasien kenapa berobat ke luar negeri utamanya untuk orang yang mampu sedangkan yang tidak mampu ya mau tidak mau berobat di indonesiabrsalam dari papua,aksesibilitas,negatif,0
menurut saya berobat ke luar negeri pertimbangannya bukan soal nasionalis atau tidak nasionalis tapi lebih mempertimbangkan masalah kualitas pelayanan kesehatan itu sendiri kalau di indonesia kualitas pelayanan kesehatannya lebih bagus dari yang ada di luar negeri seperti singapura atau malaysia maka pasien akan memilih berobat di indonesia apalagi jika biaya pengobatannya lebih murah dan terjangkau oleh masyarakat indonesia pada umumnya itulah pertimbangan pasien kenapa berobat ke luar negeri utamanya untuk orang yang mampu sedangkan yang tidak mampu ya mau tidak mau berobat di indonesiabrsalam dari papua,kualitas_diagnosis,positif,0
saya juga berobat ke singapura efektif dan efisien biaya itu relatif tapi tetap lebih murah diluar,biaya,negatif,0
ngapain berobat ke luar negeri klo di indonesia dokternya berkualitas top masalahnya dokter di indonesia berkualitas top gak,fasilitas,negatif,0
ngapain berobat ke luar negeri klo di indonesia dokternya berkualitas top masalahnya dokter di indonesia berkualitas top gak,pelayanan,negatif,0
ngapain berobat ke luar negeri klo di indonesia dokternya berkualitas top masalahnya dokter di indonesia berkualitas top gak,aksesibilitas,negatif,0
ngapain berobat ke luar negeri klo di indonesia dokternya berkualitas top masalahnya dokter di indonesia berkualitas top gak,kualitas_diagnosis,negatif,0
kenapa nggak pilih berobat ke penang,general,positif,0
biasanya yang punya duit dan yang punya kedudukkan yang berobat ke luar negeridan kalau yang ga punya keduanya ini jangan harap bisa ke luar negeri,biaya,negatif,0
gue dukung klienklienku berobat ke luar negeri alasannya di luar negeri maka pasien akan mendapatkan penjelasan yang lebih valid sedangkan di indonesia beda dokter maka omongannya beda walhasil pasien jadi stress karena kebingunganbrkesimpulan dokter di indonesia nggak kalah pinter tapi nggak ada standarisasi edukasi kepada pasien yang terorganisir walhasil omongan satu dokter akan beda dengan dokter lain lebih mengedepankan unsur duit jualan alat jasa pakai alat skill terapi perawatannya kadang malah lebih pinter perawatnya ketimbang dokternya masa gue pernah dengar ada dokter yang gak bisa nyuntik,biaya,positif,0
gue dukung klienklienku berobat ke luar negeri alasannya di luar negeri maka pasien akan mendapatkan penjelasan yang lebih valid sedangkan di indonesia beda dokter maka omongannya beda walhasil pasien jadi stress karena kebingunganbrkesimpulan dokter di indonesia nggak kalah pinter tapi nggak ada standarisasi edukasi kepada pasien yang terorganisir walhasil omongan satu dokter akan beda dengan dokter lain lebih mengedepankan unsur duit jualan alat jasa pakai alat skill terapi perawatannya kadang malah lebih pinter perawatnya ketimbang dokternya masa gue pernah dengar ada dokter yang gak bisa nyuntik,fasilitas,negatif,0
gue dukung klienklienku berobat ke luar negeri alasannya di luar negeri maka pasien akan mendapatkan penjelasan yang lebih valid sedangkan di indonesia beda dokter maka omongannya beda walhasil pasien jadi stress karena kebingunganbrkesimpulan dokter di indonesia nggak kalah pinter tapi nggak ada standarisasi edukasi kepada pasien yang terorganisir walhasil omongan satu dokter akan beda dengan dokter lain lebih mengedepankan unsur duit jualan alat jasa pakai alat skill terapi perawatannya kadang malah lebih pinter perawatnya ketimbang dokternya masa gue pernah dengar ada dokter yang gak bisa nyuntik,pelayanan,negatif,0
gue dukung klienklienku berobat ke luar negeri alasannya di luar negeri maka pasien akan mendapatkan penjelasan yang lebih valid sedangkan di indonesia beda dokter maka omongannya beda walhasil pasien jadi stress karena kebingunganbrkesimpulan dokter di indonesia nggak kalah pinter tapi nggak ada standarisasi edukasi kepada pasien yang terorganisir walhasil omongan satu dokter akan beda dengan dokter lain lebih mengedepankan unsur duit jualan alat jasa pakai alat skill terapi perawatannya kadang malah lebih pinter perawatnya ketimbang dokternya masa gue pernah dengar ada dokter yang gak bisa nyuntik,aksesibilitas,negatif,0
gue dukung klienklienku berobat ke luar negeri alasannya di luar negeri maka pasien akan mendapatkan penjelasan yang lebih valid sedangkan di indonesia beda dokter maka omongannya beda walhasil pasien jadi stress karena kebingunganbrkesimpulan dokter di indonesia nggak kalah pinter tapi nggak ada standarisasi edukasi kepada pasien yang terorganisir walhasil omongan satu dokter akan beda dengan dokter lain lebih mengedepankan unsur duit jualan alat jasa pakai alat skill terapi perawatannya kadang malah lebih pinter perawatnya ketimbang dokternya masa gue pernah dengar ada dokter yang gak bisa nyuntik,kualitas_diagnosis,negatif,0
teman saya berobat ke singapura menurut dia pelayanan puas krn dokternya dg telaten merawatnya bahkan pihak r menyediakan info ttg penginapan keluarga pasien dg tarif terjangkau dan sdh jelas total semua biaya smp sembuh bahkan lebih murah biayanya dibandingkan dg di ind,biaya,negatif,0
teman saya berobat ke singapura menurut dia pelayanan puas krn dokternya dg telaten merawatnya bahkan pihak r menyediakan info ttg penginapan keluarga pasien dg tarif terjangkau dan sdh jelas total semua biaya smp sembuh bahkan lebih murah biayanya dibandingkan dg di ind,pelayanan,negatif,0
saya seumpama punya duit lebih juga lebih senang berobat ke luar negeribrapalagi pke bpjs banyak rsud yg jelek dokter kompetensinya dan perawat nya juga jude walaupun alkes sdh canggih tapi klo dokter nya pekok ga tau jenis penyakit pasien sampe bingung sebenarnya ini dokter apa pengusaha kok mentalnya cari duit dr pasien,biaya,negatif,0
saya seumpama punya duit lebih juga lebih senang berobat ke luar negeribrapalagi pke bpjs banyak rsud yg jelek dokter kompetensinya dan perawat nya juga jude walaupun alkes sdh canggih tapi klo dokter nya pekok ga tau jenis penyakit pasien sampe bingung sebenarnya ini dokter apa pengusaha kok mentalnya cari duit dr pasien,fasilitas,negatif,0
saya seumpama punya duit lebih juga lebih senang berobat ke luar negeribrapalagi pke bpjs banyak rsud yg jelek dokter kompetensinya dan perawat nya juga jude walaupun alkes sdh canggih tapi klo dokter nya pekok ga tau jenis penyakit pasien sampe bingung sebenarnya ini dokter apa pengusaha kok mentalnya cari duit dr pasien,pelayanan,negatif,0
saya seumpama punya duit lebih juga lebih senang berobat ke luar negeribrapalagi pke bpjs banyak rsud yg jelek dokter kompetensinya dan perawat nya juga jude walaupun alkes sdh canggih tapi klo dokter nya pekok ga tau jenis penyakit pasien sampe bingung sebenarnya ini dokter apa pengusaha kok mentalnya cari duit dr pasien,kualitas_diagnosis,negatif,0
ya saya dan keluarga juga mengalami bbrp pengalaman buruk di rumah sakit di indonesia sehingga bbrp kali harus berobat ke luar negeri kakak saya divonis sudah tidak ada harapan di rumah sakit terkenal di jakarta kemudian kami bawa ke singapura ditangani dengan cepat dan sampai sekarang sehat walafiat saya sendiri pernah beradu pendapat dengan dokter gigi di rumah sakit elit di jakarta karena dokter tidak berdiskusi tapi langsung ngebar ngebor gigi saya tanpa persetujuan terlebih dahulu orang tua saya perlu berobat tembak batu ginjal di rscm harus bayar tunai tidak boleh transfer gila banget ke rumah sakit gembolan uang tunai puluhan juta,biaya,negatif,0
ya saya dan keluarga juga mengalami bbrp pengalaman buruk di rumah sakit di indonesia sehingga bbrp kali harus berobat ke luar negeri kakak saya divonis sudah tidak ada harapan di rumah sakit terkenal di jakarta kemudian kami bawa ke singapura ditangani dengan cepat dan sampai sekarang sehat walafiat saya sendiri pernah beradu pendapat dengan dokter gigi di rumah sakit elit di jakarta karena dokter tidak berdiskusi tapi langsung ngebar ngebor gigi saya tanpa persetujuan terlebih dahulu orang tua saya perlu berobat tembak batu ginjal di rscm harus bayar tunai tidak boleh transfer gila banget ke rumah sakit gembolan uang tunai puluhan juta,fasilitas,negatif,0
ya saya dan keluarga juga mengalami bbrp pengalaman buruk di rumah sakit di indonesia sehingga bbrp kali harus berobat ke luar negeri kakak saya divonis sudah tidak ada harapan di rumah sakit terkenal di jakarta kemudian kami bawa ke singapura ditangani dengan cepat dan sampai sekarang sehat walafiat saya sendiri pernah beradu pendapat dengan dokter gigi di rumah sakit elit di jakarta karena dokter tidak berdiskusi tapi langsung ngebar ngebor gigi saya tanpa persetujuan terlebih dahulu orang tua saya perlu berobat tembak batu ginjal di rscm harus bayar tunai tidak boleh transfer gila banget ke rumah sakit gembolan uang tunai puluhan juta,pelayanan,negatif,0
ya saya dan keluarga juga mengalami bbrp pengalaman buruk di rumah sakit di indonesia sehingga bbrp kali harus berobat ke luar negeri kakak saya divonis sudah tidak ada harapan di rumah sakit terkenal di jakarta kemudian kami bawa ke singapura ditangani dengan cepat dan sampai sekarang sehat walafiat saya sendiri pernah beradu pendapat dengan dokter gigi di rumah sakit elit di jakarta karena dokter tidak berdiskusi tapi langsung ngebar ngebor gigi saya tanpa persetujuan terlebih dahulu orang tua saya perlu berobat tembak batu ginjal di rscm harus bayar tunai tidak boleh transfer gila banget ke rumah sakit gembolan uang tunai puluhan juta,aksesibilitas,negatif,0
dokter di indonesia pernah memvonis kakak saya untuk amputasi karena sakit kelenjar getah bening di daerah kaki kami menolak kemudian dibawa berobat ke malaysia disana beliau diberi terapi chemo beberapa bulan kemudian dinyatakan sembuh dokter di malaysia ternyata kebanyakan orang indonesia sendir nah lho mau quotbijimanaquot nih,pelayanan,negatif,0
dokter di indonesia pernah memvonis kakak saya untuk amputasi karena sakit kelenjar getah bening di daerah kaki kami menolak kemudian dibawa berobat ke malaysia disana beliau diberi terapi chemo beberapa bulan kemudian dinyatakan sembuh dokter di malaysia ternyata kebanyakan orang indonesia sendir nah lho mau quotbijimanaquot nih,aksesibilitas,negatif,0
tidak bisa dibilang berobat ke luar negeri lalu mengatakan tidak nasionalisbrbr kita harus sadar mengapa orang indonesia berobat ke luar negeri karena pasien lebih percaya dengan dokter luar negeri jadi daripada mengatakan kalau mereka tidak nasionalis mengapa bukan dokter di indonesia yang harus menambah ilmu dan membuktikan bahwa mereka patut dipercayabrbr masalah berobat ke luar negeri itu hak selama pasien tersebut menggunakan uangnya sendiri dan mau mampu mengeluarkan uang ya tidak masalah kan mengapa tiba menjadi tidak nasionalisbrbr sebenarnya berobat ke luar negeri tidak selalu bagus karena pada kenyataan nya mertua saya sendiri berobat ke malay tapi sembuhnya toh dengan dokter indonesia jadi ini sebenarnya case by case ya tapi ada juga saudara yang diobok di dokter indonesia tapi sembuhnya di luar negeri sekali lagi ini case by casebrbr berobat ke luar negeri itu demi kesembuhan pasien dan salah satu hak pasien itu memilih dokter jadi masalah berobat ke luar negeri tidak perlu dipolitisasi atau dikritik mau pasien berobat di indonesia br a tambah ilmu dokterbr b upgrade peralatan kedokteranbr c tambah ilmu dokterbr d kurangi biaya pengobatan jadi tolong biaya obatobat an ditekan kalau daftar obat dari luar negeri biaya nya jangan mahal akrena itu nanti akan dibebankan ke masyarakat masa obat a misalnya di singapore dan di indo bisa lebih murah di singaporebr e tambah ilmu dokterbr f biaya jadi dokter jangan mahalmahal supaya dokter tidak fokus balek modalbr g tambah ilmu dokterbr h idem idem idem idem mendem,biaya,negatif,0
tidak bisa dibilang berobat ke luar negeri lalu mengatakan tidak nasionalisbrbr kita harus sadar mengapa orang indonesia berobat ke luar negeri karena pasien lebih percaya dengan dokter luar negeri jadi daripada mengatakan kalau mereka tidak nasionalis mengapa bukan dokter di indonesia yang harus menambah ilmu dan membuktikan bahwa mereka patut dipercayabrbr masalah berobat ke luar negeri itu hak selama pasien tersebut menggunakan uangnya sendiri dan mau mampu mengeluarkan uang ya tidak masalah kan mengapa tiba menjadi tidak nasionalisbrbr sebenarnya berobat ke luar negeri tidak selalu bagus karena pada kenyataan nya mertua saya sendiri berobat ke malay tapi sembuhnya toh dengan dokter indonesia jadi ini sebenarnya case by case ya tapi ada juga saudara yang diobok di dokter indonesia tapi sembuhnya di luar negeri sekali lagi ini case by casebrbr berobat ke luar negeri itu demi kesembuhan pasien dan salah satu hak pasien itu memilih dokter jadi masalah berobat ke luar negeri tidak perlu dipolitisasi atau dikritik mau pasien berobat di indonesia br a tambah ilmu dokterbr b upgrade peralatan kedokteranbr c tambah ilmu dokterbr d kurangi biaya pengobatan jadi tolong biaya obatobat an ditekan kalau daftar obat dari luar negeri biaya nya jangan mahal akrena itu nanti akan dibebankan ke masyarakat masa obat a misalnya di singapore dan di indo bisa lebih murah di singaporebr e tambah ilmu dokterbr f biaya jadi dokter jangan mahalmahal supaya dokter tidak fokus balek modalbr g tambah ilmu dokterbr h idem idem idem idem mendem,fasilitas,negatif,0
